grower_id,deliver_date,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
Bett01,10/16/2013,1,"2,126",2697,5,0,37,MX,"54,420",88.39%,1,2,,,,,,,,
Bett01,10/16/2013,1,"2,134",2705,4.54,0,41,MX,"54,280",94.33%,1,2,,,,,,,,
Bett01,10/17/2013,1,"2,140",2714,4.91,0,28,MX,"55,140",90.87%,1,2,,,,,,,,
Bett01,10/17/2013,1,"2,148",2725,5,0,44,MX,"29,360",92.67%,1,2,,,,,,,,
Bott05,10/23/2013,1,"2,253",2850,1.53,0,58,EB,"38,520",94.06%,1,2,,,,,,,,
Chan01,10/22/2013,1,"2,235",2829,2.22,0,53,ST,"27,260",91.40%,1,2,,,,,,,,
Jenn01,10/31/2013,1,"2,347",2959,1.23,0,40,HO,"48,020",89.43%,1,2,,,,,,,,
Jenn01,10/31/2013,1,"2,347",2960,1.23,0,40,HO,"6,460",89.43%,1,2,,,,,,,,
Luca02,11/18/2013,1,"2,420",3073,9.34,0,36,HO,"41,460",89.52%,1,2,,,,,,,,
Olso01,9/23/2013,1,"1,818",2300,15.5,0,35,BL,"23,220",86.77%,1,2,,,,,,,,
Pett02,10/5/2013,1,"1,920",2421,15,0,27,BL,"18,820",95.05%,1,2,,,,,,,,
Pett02,10/6/2013,1,"1,925",2427,15,0,30,BL,"8,000",93.05%,1,2,,,,,,,,
Bott02,10/2/2013,2,"1,882",2372,6.17,0,24,ST,"40,420",95.98%,1,2,,,,,,,,
Bott05,10/23/2013,2,"2,262",2860,2.64,0,60,EB,"52,700",96.36%,1,2,,,,,,,,
Jenn01,10/29/2013,2,"2,328",2938,1.64,0,38,ST,"44,060",95.46%,1,2,,,,,,,,
Jenn01,10/29/2013,2,"2,329",2939,2.68,0,31,ST,"44,060",93.91%,1,2,,,,,,,,
Jenn01,10/29/2013,2,"2,330",2940,2.98,0,37,ST,"44,780",95.26%,1,2,,,,,,,,
Luca02,11/19/2013,2,"2,419",3079,25.91,0,34,HO,"26,600",82.04%,1,2,,,,,,,,
Luca02,11/19/2013,2,"2,419",3080,25.91,0,34,HO,"27,600",82.04%,1,2,,,,,,,,
Olso01,9/24/2013,2,"1,828",2310,22,0,35,BL,"8,660",80.89%,1,2,,,,,,,,
Perr03,11/4/2013,2,"2,367",2984,1.67,0,31,BL,"19,660",90.20%,1,2,,,,,,,,
Pett02,10/28/2013,2,"2,326",2936,3.7,0,37,HO,"23,240",95.56%,1,2,,,,,,,,
Pett02,10/29/2013,2,"2,331",2941,3.26,0,33,HO,"7,800",95.27%,1,2,,,,,,,,
Bett01,10/7/2013,3,"1,934",2439,12.89,0,32,ST,"37,160",90.00%,1,2,,,,,,,,
Bett01,10/7/2013,3,"1,939",2444,12.66,0,26,ST,"43,360",88.90%,1,2,,,,,,,,
Bett01,10/7/2013,3,"1,939",2450,12.66,0,26,ST,"31,580",88.90%,1,2,,,,,,,,
Bott02,10/3/2013,3,"1,890",2380,3.52,0,33,EB,"32,860",90.69%,1,2,,,,,,,,
Chan01,10/23/2013,3,"2,249",2845,6.48,0,40,ST,"29,800",82.68%,1,2,,,,,,,,
Jenn01,10/25/2013,3,"2,283",2886,0.34,0,39,ST,"45,880",92.20%,1,2,,,,,,,,
Jenn01,10/25/2013,3,"2,284",2887,1.01,0,28,ST,"44,620",95.91%,1,2,,,,,,,,
Jenn01,10/25/2013,3,"2,284",2891,1.01,0,28,ST,"6,140",95.91%,1,2,,,,,,,,
Luca02,11/20/2013,3,"2,423",3085,14.7,0,34,HO,"44,680",77.15%,1,2,,,,,,,,
Luca02,11/20/2013,3,"2,425",3088,15.94,0,31,HO,"26,560",81.94%,1,2,,,,,,,,
Olso01,10/10/2013,3,"1,982",2512,2.26,0,23,ST,"22,280",91.59%,1,2,,,,,,,,
Olso01,10/10/2013,3,"1,988",2523,6.69,0,25,ST,"15,280",91.60%,1,2,,,,,,,,
Pett02,10/11/2013,3,"2,029",2572,13.97,0,36,ST,"8,100",92.22%,1,2,,,,,,,,
Pett02,10/12/2013,3,"2,039",2583,11,0,42,ST,"7,160",91.42%,1,2,,,,,,,,
Bett01,10/2/2013,4,"1,879",2368,8.99,0,29,ST,"41,460",85.36%,1,2,,,,,,,,
Bott02,10/20/2013,4,"2,203",2793,2.6,0,26,ST,"46,900",97.04%,1,2,,,,,,,,
Bott02,10/21/2013,4,"2,216",2808,0.38,0,38,ST,"49,320",94.46%,1,2,,,,,,,,
Bott02,10/22/2013,4,"2,232",2827,0.08,0,25,ST,"14,660",94.98%,1,2,,,,,,,,
Bott05,10/29/2013,4,"2,335",2945,7.7,0,45,EB,"48,720",92.61%,1,2,,,,,,,,
Olso01,10/9/2013,4,"1,970",2491,10.82,0,31,BL,"20,400",84.55%,1,2,,,,,,,,
Bett01,10/3/2013,5,"1,893",2386,19.07,0,34,ST,"43,740",82.76%,1,2,,,,,,,,
Bett01,10/3/2013,5,"1,893",2391,19.07,0,34,ST,"25,700",82.76%,1,2,,,,,,,,
Bott05,10/30/2013,5,"2,343",2953,3.58,0,72,EB,"40,600",94.75%,1,2,,,,,,,,
Bett01,10/30/2013,6,"2,342",2954,2.12,0,42,HO,"41,560",87.86%,1,2,,,,,,,,
Bett01,10/31/2013,6,"2,351",2965,5.41,0,47,HO,"43,180",88.42%,1,2,,,,,,,,
Bett01,11/1/2013,6,"2,359",2974,3.38,0,56,HO,"43,020",87.10%,1,2,,,,,,,,
Bett01,11/1/2013,6,"2,362",2978,2.33,0,51,HO,"21,840",85.07%,1,2,,,,,,,,
Bett01,11/1/2013,6,"2,364",2976,4.53,0,58,HO,"49,520",87.82%,1,2,,,,,,,,
Olso01,10/10/2013,7,"1,994",2532,7.85,0,33,ST,"23,460",85.16%,1,2,,,,,,,,
Olso01,10/10/2013,7,"2,002",2543,11.04,0,24,ST,"23,160",84.67%,1,2,,,,,,,,
Olso01,10/11/2013,7,"2,012",2552,12.69,0,31,ST,"21,500",88.40%,1,2,,,,,,,,
Olso01,10/11/2013,7,"2,026",2568,6.08,0,30,ST,"25,700",81.92%,1,2,,,,,,,,
Bett01,11/4/2013,9,"2,369",2987,3.99,0,51,HO,"53,780",79.40%,1,2,,,,,,,,
Bett01,11/4/2013,9,"2,369",2988,3.99,0,51,HO,"44,220",79.40%,1,2,,,,,,,,
Bett01,11/5/2013,9,"2,372",2992,3.9,0,41,HO,"28,500",77.84%,1,2,,,,,,,,
Bett01,11/5/2013,9,"2,372",2995,3.9,0,41,HO,"27,620",77.84%,1,2,,,,,,,,
Bett01,11/5/2013,9,"2,375",2997,5.72,0,45,HO,"29,480",79.40%,1,2,,,,,,,,
Bett01,10/9/2013,10,"1,967",2488,9.21,0,37,ST,"37,380",86.83%,1,2,,,,,,,,
Bett01,10/9/2013,10,"1,967",2492,9.21,0,37,ST,"38,520",86.83%,1,2,,,,,,,,
Bett01,10/11/2013,11,"2,010",2548,9.26,0,44,ST,"47,040",95.42%,1,2,,,,,,,,
Bott02,10/19/2013,11,"2,189",2772,10.44,0,41,ST,"52,280",91.65%,1,2,,,,,,,,
Kopa01,10/18/2013,11,"2,176",2754,8.16,0,22,ST,"26,700",92.11%,1,2,,,,,,,,
Bott02,10/8/2013,13,"1,958",2473,3.2,0,28,EB,"49,400",89.33%,1,2,,,,,,,,
Bott02,10/9/2013,13,"1,963",2480,4.28,0,30,EB,"49,400",88.92%,1,2,,,,,,,,
Bott02,10/9/2013,13,"1,969",2490,8.05,0,27,EB,"22,980",91.24%,1,2,,,,,,,,
Bott02,11/8/2013,15,"2,386",3015,4.2,0,41,HO,"26,920",87.87%,1,2,,,,,,,,
Bott02,11/18/2013,21,"2,415",3069,3.09,0,41,ST,"52,740",96.53%,1,2,,,,,,,,
Bott02,11/11/2013,23,"2,391",3025,1.72,0,58,ST,"49,640",91.46%,1,2,,,,,,,,
Bott02,11/11/2013,23,"2,391",3026,1.72,0,58,ST,"50,340",91.46%,1,2,,,,,,,,
Smit02,10/16/2013,1-Mar,"2,128",2699,3.1,0,28,ST,"35,640",93.88%,1,2,,,,,,,,
Smit02,10/18/2013,2-Mar,"2,169",2748,4.77,0,35,ST,"51,760",84.41%,1,2,,,,,,,,
Smit02,10/18/2013,2-Mar,"2,177",2755,6.95,0,44,ST,"50,460",89.99%,1,2,,,,,,,,
Smit02,10/19/2013,4-Mar,"2,188",2767,2.35,0,37,ST,"52,320",89.43%,1,2,,,,,,,,
Smit02,10/19/2013,4-Mar,"2,188",2773,2.35,0,37,ST,"50,620",89.43%,1,2,,,,,,,,
Smit02,10/19/2013,4-Mar,"2,192",2778,5.27,0,33,ST,"10,860",85.82%,1,2,,,,,,,,
Pike01,10/18/2013,#1,"2,181",2760,15.1,0,45,ST,"19,820",91.35%,1,2,,,,,,,,
Pike01,10/19/2013,#1,"2,194",2780,13.43,0,30,ST,"13,000",90.15%,1,2,,,,,,,,
Reze02,9/12/2013,#1,"1,810",2291,5.27,0,15,BL,"49,940",95.42%,1,2,,,,,,,,
Reze02,9/13/2013,#1,"1,810",2293,5.27,0,15,BL,"16,740",95.42%,1,2,,,,,,,,
Ryco01,10/26/2013,#1,"2,302",2910,9.9,0,37,ST,"9,740",78.21%,1,2,,,,,,,,
Wain01,11/18/2013,#1,"2,417",3070,2.56,0,54,ST,"41,180",93.58%,1,2,,,,,,,,
Wain03,11/1/2013,#1,"2,358",2972,3.05,0,45,ST,"48,520",93.08%,1,2,,,,,,,,
Wain03,11/1/2013,#1,"2,358",2973,3.05,0,45,ST,"14,480",93.08%,1,2,,,,,,,,
Wain03,11/1/2013,#1,"2,361",2977,2.7,0,58,ST,"31,160",96.37%,1,2,,,,,,,,
Ward01,10/15/2013,#1,"2,090",2653,4.09,0,49,EB,"31,660",77.53%,1,2,,,,,,,,
Ward01,10/25/2013,#1,"2,291",2897,7.39,0,23,HO,"33,640",94.67%,1,2,,,,,,,,
Reze02,10/8/2013,#10,"1,947",2456,4.6,0,28,ST,"49,800",94.15%,1,2,,,,,,,,
Reze02,10/8/2013,#10,"1,947",2462,4.6,0,28,ST,"59,020",94.15%,1,2,,,,,,,,
Reze02,10/9/2013,#11,"1,977",2504,4.01,0,62,ST,"49,600",93.78%,1,2,,,,,,,,
Reze02,10/10/2013,#11,"1,981",2509,4.4,0,29,ST,"59,660",95.97%,1,2,,,,,,,,
Reze02,10/10/2013,#11,"1,981",2515,4.4,0,29,ST,"10,740",95.97%,1,2,,,,,,,,
Reze02,10/8/2013,#12,"1,959",2478,3.74,0,24,ST,"49,680",97.16%,1,2,,,,,,,,
Reze02,10/9/2013,#12,"1,962",2483,3.02,0,29,ST,"18,020",93.43%,1,2,,,,,,,,
Nant01,10/18/2013,#12a,"2,165",2743,25.55,0,44,ST,"28,200",91.51%,1,2,,,,,,,,
Nant01,10/10/2013,#12b,"2,000",2540,12.25,0,31,BL,"23,440",85.02%,1,2,,,,,,,,
Nant01,10/7/2013,#13,"1,944",2451,12.45,0,44,EB,"46,200",84.77%,1,2,,,,,,,,
Nant01,10/8/2013,#13,"1,948",2458,8.65,0,42,EB,"44,780",93.45%,1,2,,,,,,,,
Reze02,10/11/2013,#13,"2,008",2546,6.48,0,27,ST,"50,300",91.59%,1,2,,,,,,,,
Reze02,10/11/2013,#13,"2,013",2553,9.75,0,23,ST,"45,120",90.06%,1,2,,,,,,,,
Reze02,10/11/2013,#13,"2,032",2576,6.53,0,25,ST,"51,820",91.32%,1,2,,,,,,,,
Nant01,10/6/2013,#14,"1,923",2425,4.28,0,52,EB,"46,440",91.30%,1,2,,,,,,,,
Nant01,10/7/2013,#14,"1,930",2432,8.15,0,68,EB,"46,220",80.58%,1,2,,,,,,,,
Reze02,10/10/2013,#14,"1,987",2522,4.32,0,26,ST,"60,520",96.88%,1,2,,,,,,,,
Reze02,10/10/2013,#14,"1,993",2529,3.59,0,28,ST,"50,200",94.04%,1,2,,,,,,,,
Reze02,10/10/2013,#14,"2,001",2541,4.76,0,23,ST,"13,380",97.66%,1,2,,,,,,,,
Reze02,10/9/2013,#15,"1,971",2493,1.97,0,26,ST,"60,880",95.29%,1,2,,,,,,,,
Reze02,10/9/2013,#15,"1,971",2496,1.97,0,26,ST,"51,100",95.29%,1,2,,,,,,,,
Reze02,10/9/2013,#15,"1,974",2500,1.72,0,29,ST,"12,760",95.89%,1,2,,,,,,,,
Reze02,10/7/2013,#16,"1,932",2436,2.69,0,25,ST,"61,160",94.39%,1,2,,,,,,,,
Reze02,10/7/2013,#16,"1,933",2437,1.59,0,26,ST,"9,960",95.39%,1,2,,,,,,,,
Nant01,10/5/2013,#16A,"1,914",2415,4.41,0,50,EB,"46,040",80.46%,1,2,,,,,,,,
Nant01,10/4/2013,#16B,"1,901",2401,7.89,0,41,EB,"45,000",84.98%,1,2,,,,,,,,
Nant01,10/14/2013,#19,"2,065",2621,3.21,0,40,EB,"45,180",93.10%,1,2,,,,,,,,
Pike01,10/14/2013,#2,"2,060",2615,14.62,0,31,ST,"22,000",89.35%,1,2,,,,,,,,
Pike01,10/14/2013,#2,"2,082",2642,10,0,34,ST,"19,820",94.64%,1,2,,,,,,,,
Pike01,10/15/2013,#2,"2,089",2652,8.67,0,35,ST,"9,320",90.08%,1,2,,,,,,,,
Reze02,9/12/2013,#2,"1,808",2289,2,0,22,BL,"56,880",94.72%,1,2,,,,,,,,
Ward01,10/29/2013,#2,"2,332",2942,6.22,0,24,HO,"31,880",88.45%,1,2,,,,,,,,
Nant01,10/14/2013,#22,"2,061",2616,5.84,0,43,EB,"43,440",87.48%,1,2,,,,,,,,
Nant01,10/1/2013,#23,"1,862",2350,7.59,0,40,EB,"46,480",94.88%,1,2,,,,,,,,
Pike01,10/23/2013,#3,"2,255",2852,8.72,0,30,ST,"17,600",90.81%,1,2,,,,,,,,
Pike01,10/24/2013,#3,"2,268",2870,16.26,0,33,ST,"12,040",95.88%,1,2,,,,,,,,
Reze02,9/26/2013,#3,"1,842",2324,1.81,0,24,BL,"55,900",96.15%,1,2,,,,,,,,
Wain01,11/18/2013,#3,"2,418",3072,4.88,0,43,ST,"39,520",94.50%,1,2,,,,,,,,
Wain01,11/18/2013,#3,"2,418",3074,4.88,0,43,ST,"16,620",94.50%,1,2,,,,,,,,
Wain01,11/18/2013,#3,"2,421",3071,5.48,0,51,HO,"45,040",94.21%,1,2,,,,,,,,
Ward01,10/29/2013,#3,"2,336",2946,7.6,0,34,HO,"21,760",85.45%,1,2,,,,,,,,
Pett02,10/10/2013,#4,"1,985",2521,15,0,28,BL,"22,080",98.13%,1,2,,,,,,,,
Pett02,10/10/2013,#4,"1,992",2528,15,0,28,BL,"27,480",95.25%,1,2,,,,,,,,
Pett02,10/10/2013,#4,"1,999",2539,11.84,0,29,BL,"22,380",97.96%,1,2,,,,,,,,
Pike01,10/25/2013,#4,"2,297",2903,6.3,0,45,ST,"18,680",93.58%,1,2,,,,,,,,
Pike01,10/26/2013,#4,"2,311",2920,9.68,0,49,ST,"15,620",89.05%,1,2,,,,,,,,
Reze02,9/25/2013,#4,"1,835",2317,1.41,0,25,BL,"59,560",94.46%,1,2,,,,,,,,
Reze02,9/26/2013,#4,"1,836",2318,0.77,0,24,BL,"60,620",94.48%,1,2,,,,,,,,
Reze02,9/26/2013,#4,"1,838",2320,1.15,0,26,BL,"49,440",97.34%,1,2,,,,,,,,
Pike01,10/6/2013,#5,"1,927",2430,2.4,0,33,BL,"10,700",99.35%,1,2,,,,,,,,
Wain01,11/7/2013,#5,"2,380",3008,3.22,0,36,ST,"46,720",96.04%,1,2,,,,,,,,
Wain01,11/7/2013,#5,"2,382",3011,1.1,0,42,ST,"26,700",94.91%,1,2,,,,,,,,
Ward01,10/25/2013,#5,"2,295",2901,3.17,0,34,HO,"41,720",92.70%,1,2,,,,,,,,
Reze02,10/7/2013,#5A,"1,942",2448,4.58,0,32,ST,"59,420",96.26%,1,2,,,,,,,,
Reze02,10/7/2013,#5A,"1,942",2453,4.58,0,32,ST,"50,960",96.26%,1,2,,,,,,,,
Reze02,10/12/2013,#5B,"2,040",2584,2.31,0,60,HO,"44,900",95.37%,1,2,,,,,,,,
Reze02,10/12/2013,#5B,"2,044",2589,3.63,0,38,EB,"30,000",90.98%,1,2,,,,,,,,
Nant01,10/8/2013,#6,"1,960",2479,6.56,0,45,EB,"45,300",89.90%,1,2,,,,,,,,
Nant01,10/9/2013,#6,"1,966",2487,3.3,0,62,EB,"44,980",88.22%,1,2,,,,,,,,
Nant01,10/9/2013,#6,"1,976",2481,3.16,0,62,EB,"44,580",90.62%,1,2,,,,,,,,
Nant01,10/9/2013,#6,"1,976",2503,3.16,0,62,EB,"45,580",90.62%,1,2,,,,,,,,
Reze02,9/23/2013,#6,"1,813",2295,3.67,0,29,BL,"59,720",93.50%,1,2,,,,,,,,
Reze02,9/23/2013,#6,"1,815",2297,3.67,0,26,BL,"50,340",96.29%,1,2,,,,,,,,
Reze02,9/23/2013,#6,"1,816",2298,5,0,29,BL,"6,240",94.28%,1,2,,,,,,,,
Reze02,9/23/2013,#7,"1,819",2301,3.25,0,29,BL,"58,500",94.90%,1,2,,,,,,,,
Reze02,9/24/2013,#7,"1,821",2303,3,0,25,BL,"40,860",96.62%,1,2,,,,,,,,
Reze02,9/24/2013,#7,"1,822",2304,3,0,28,BL,"49,580",96.66%,1,2,,,,,,,,
Ward01,10/21/2013,#7,"2,212",2803,4.78,0,27,ST,"40,800",90.07%,1,2,,,,,,,,
Ward01,10/21/2013,#7,"2,212",2804,4.78,0,27,ST,"22,880",90.07%,1,2,,,,,,,,
Reze02,9/24/2013,#8,"1,825",2307,3.8,0,24,BL,"57,080",94.61%,1,2,,,,,,,,
Reze02,9/24/2013,#8,"1,826",2308,2,0,24,BL,"49,680",97.16%,1,2,,,,,,,,
Reze02,10/8/2013,#9,"1,956",2471,5.65,0,26,ST,"58,960",96.65%,1,2,,,,,,,,
Ashl02,10/12/2013,1 S,"2,054",2606,4.59,0,33,ST,"22,960",92.51%,1,2,,,,,,,,
Nant01,10/2/2013,16c,"1,886",2376,12.23,0,51,EB,"45,440",82.16%,1,2,,,,,,,,
Nant01,10/4/2013,16c,"1,902",2397,8.18,0,41,EB,"45,540",86.10%,1,2,,,,,,,,
Nant01,10/1/2013,17b,"1,870",2358,7.42,0,36,EB,"42,440",90.07%,1,2,,,,,,,,
Ashl02,10/28/2013,3 S,"2,322",2932,2.95,0,41,ST,"20,240",94.01%,1,2,,,,,,,,
Russ01,11/22/2013,3A,"2,431",3095,6.18,0,72,HO,"7,580",87.80%,1,2,,,,,,,,
Pink01,10/2/2013,3House,"1,887",2377,1.4,0,49,EB,"7,780",90.24%,1,2,,,,,,,,
Pink01,10/3/2013,3House,"1,887",2385,1.4,0,49,EB,"17,360",90.24%,1,2,,,,,,,,
Bett01,10/8/2013,7A,"1,945",2454,12.44,0,32,ST,"40,340",92.02%,1,2,,,,,,,,
Bett01,10/8/2013,7A,"1,949",2459,19.73,0,28,ST,"38,640",92.33%,1,2,,,,,,,,
Bett01,10/8/2013,7A,"1,949",2476,19.73,0,28,ST,"37,660",92.33%,1,2,,,,,,,,
Bett01,10/8/2013,7A,"1,952",2464,11.22,0,30,ST,"39,840",94.18%,1,2,,,,,,,,
Bett01,10/8/2013,7A,"1,955",2469,9.98,0,29,ST,"38,860",90.20%,1,2,,,,,,,,
Lamb01,10/10/2013,A,"2,004",2513,2.38,0,44,OS,"36,340",92.25%,1,2,,,,,,,,
Lamb01,10/10/2013,A,"2,004",2535,2.38,0,44,OS,"36,200",92.25%,1,2,,,,,,,,
Lamb01,10/11/2013,A,"2,034",2579,1.45,0,37,OS,"36,640",95.44%,1,2,,,,,,,,
Krys01,10/6/2013,A1,"1,928",2431,2.82,0,45,EB,"34,100",87.51%,1,2,,,,,,,,
Norr01,10/15/2013,A-1,"2,107",2673,4.37,0,68,EB,"39,560",85.00%,1,2,,,,,,,,
Norr01,10/15/2013,A-1,"2,107",2676,4.37,0,68,EB,"17,220",85.00%,1,2,,,,,,,,
Norr01,10/19/2013,A-10,"2,193",2779,2.83,0,51,EB,"21,040",89.43%,1,2,,,,,,,,
Norr01,10/19/2013,A-11,"2,185",2764,3.72,0,52,ST,"28,820",94.66%,1,2,,,,,,,,
Norr01,10/17/2013,A-12,"2,144",2718,1.44,0,56,MX,"40,160",92.03%,1,2,,,,,,,,
Norr01,10/17/2013,A-12,"2,152",2729,4.18,0,57,MX,"40,280",90.78%,1,2,,,,,,,,
Norr01,10/17/2013,A-12,"2,152",2731,4.18,0,57,MX,"27,760",90.78%,1,2,,,,,,,,
Norr01,10/25/2013,A-13,"2,290",2895,0.91,0,63,EB,"39,600",94.18%,1,2,,,,,,,,
Norr01,10/25/2013,A-13,"2,294",2899,1.11,0,69,EB,"38,240",96.02%,1,2,,,,,,,,
Norr01,10/25/2013,A-13,"2,294",2900,1.11,0,69,EB,"7,480",96.02%,1,2,,,,,,,,
Krys01,10/6/2013,A2,"1,926",2428,1.97,0,45,EB,"48,060",88.83%,1,2,,,,,,,,
Krys01,10/6/2013,A2,"1,926",2429,1.97,0,45,EB,"9,540",88.83%,1,2,,,,,,,,
Medi01,10/7/2013,A2,"1,937",2442,0.69,0,44,EB,"58,020",95.76%,1,2,,,,,,,,
Norr01,10/16/2013,A-2,"2,124",2694,3.67,0,52,EB,"34,380",90.49%,1,2,,,,,,,,
Brid01,10/16/2013,A3,"2,115",2684,5.48,0,48,ST,"15,280",89.25%,1,2,,,,,,,,
Brid01,10/16/2013,A3,"2,119",2688,11.77,0,43,ST,"3,660",79.78%,1,2,,,,,,,,
Medi01,10/4/2013,A3,"1,905",2405,1.68,0,42,BL,"7,880",94.86%,1,2,,,,,,,,
Norr01,10/23/2013,A-3,"2,250",2846,3.97,0,49,MX,"41,640",93.59%,1,2,,,,,,,,
Norr01,10/23/2013,A-3,"2,254",2851,3.85,0,44,MX,"39,560",94.96%,1,2,,,,,,,,
Norr01,10/23/2013,A-3,"2,259",2857,1.23,0,50,MX,"40,720",90.69%,1,2,,,,,,,,
Norr01,10/23/2013,A-3,"2,259",2862,1.23,0,50,MX,"40,400",90.69%,1,2,,,,,,,,
Medi01,10/4/2013,A4,"1,906",2407,0.98,0,44,MX,"6,840",96.07%,1,2,,,,,,,,
Norr01,10/16/2013,A-4,"2,130",2701,2.21,0,44,EB,"21,960",89.02%,1,2,,,,,,,,
Medi01,10/4/2013,A5,"1,907",2408,1.25,0,29,EB,"6,040",92.60%,1,2,,,,,,,,
Medi01,10/7/2013,A6,"1,931",2435,0.99,0,32,EB,"58,360",96.21%,1,2,,,,,,,,
Medi01,10/7/2013,A6,"1,931",2438,0.99,0,32,EB,"15,200",96.21%,1,2,,,,,,,,
Norr01,10/18/2013,A-6,"2,164",2742,7.48,0,65,EB,"34,740",89.84%,1,2,,,,,,,,
Krys01,10/6/2013,A7,"1,924",2426,9.83,0,51,BL,"13,120",89.79%,1,2,,,,,,,,
Medi01,10/4/2013,A7,"1,912",2414,11.3,0,35,ST,"14,200",92.43%,1,2,,,,,,,,
Norr01,10/18/2013,A-7,"2,171",2749,4.11,0,60,MX,"39,000",96.25%,1,2,,,,,,,,
Norr01,10/18/2013,A-7,"2,179",2757,3.18,0,72,MX,"31,960",92.01%,1,2,,,,,,,,
Norr01,10/18/2013,A-7,"2,179",2758,3.18,0,72,MX,"6,060",92.01%,1,2,,,,,,,,
Medi01,10/7/2013,A8,"1,941",2446,3.2,0,48,EB,"22,420",94.29%,1,2,,,,,,,,
Norr01,10/20/2013,A8B,"2,201",2791,3.05,0,42,ST,"39,020",93.69%,1,2,,,,,,,,
Norr01,10/20/2013,A8B,"2,201",2796,3.05,0,42,ST,"30,320",93.69%,1,2,,,,,,,,
Medi01,10/18/2013,A9,"2,166",2744,1.24,0,23,HO,"23,440",95.24%,1,2,,,,,,,,
Norr01,10/22/2013,A-9,"2,234",2828,2.56,0,21,HO,"41,680",91.29%,1,2,,,,,,,,
Norr01,10/22/2013,A-9,"2,237",2832,1.57,0,22,HO,"39,820",91.83%,1,2,,,,,,,,
Norr01,10/22/2013,A-9,"2,237",2834,1.57,0,22,HO,"6,100",91.83%,1,2,,,,,,,,
Rich01,10/20/2013,Acush2,"2,197",2787,1.93,0,28,HO,"48,060",97.30%,1,2,,,,,,,,
Rich01,10/20/2013,Acush2,"2,200",2790,0.25,0,34,HO,"46,980",95.28%,1,2,,,,,,,,
Rich01,10/21/2013,Acush2,"2,209",2800,2.07,0,41,ST,"48,960",94.72%,1,2,,,,,,,,
Rich01,10/21/2013,Acush2,"2,217",2809,6.21,0,38,ST,"17,220",95.44%,1,2,,,,,,,,
Mere01,10/24/2013,Adrein,"2,269",2871,1.71,0,41,ST,"52,900",90.78%,1,2,,,,,,,,
Mere01,10/24/2013,Adrein,"2,274",2876,3.34,0,31,ST,"54,920",85.05%,1,2,,,,,,,,
Shur02,10/17/2013,All,"2,142",2716,2.19,0,56,MX,"18,980",92.22%,1,2,,,,,,,,
Shur02,10/17/2013,All,"2,142",2722,2.19,0,56,MX,"21,880",92.22%,1,2,,,,,,,,
Shur02,10/17/2013,All,"2,149",2726,0.22,0,48,MX,"19,260",88.73%,1,2,,,,,,,,
Shur02,10/17/2013,All,"2,153",2730,5.24,0,34,MX,"21,720",92.15%,1,2,,,,,,,,
Shur02,10/17/2013,All,"2,158",2735,2.71,0,44,MX,"19,160",88.81%,1,2,,,,,,,,
Shur02,10/18/2013,All,"2,162",2741,9.06,0,57,MX,"21,280",89.48%,1,2,,,,,,,,
Shur02,10/19/2013,All,"2,187",2766,3.23,0,40,MX,"20,120",93.06%,1,2,,,,,,,,
Shur02,10/19/2013,All,"2,187",2771,3.23,0,40,MX,"22,340",93.06%,1,2,,,,,,,,
Shur02,10/19/2013,All,"2,187",2774,3.23,0,40,MX,"19,400",93.06%,1,2,,,,,,,,
Shur02,10/19/2013,All,"2,187",2777,3.23,0,40,MX,"23,320",93.06%,1,2,,,,,,,,
Shur02,10/19/2013,All,"2,187",2785,3.23,0,40,MX,"19,500",93.06%,1,2,,,,,,,,
Shur02,10/20/2013,All,"2,198",2788,1.48,0,32,MX,"20,240",90.59%,1,2,,,,,,,,
Shur02,10/21/2013,All,"2,215",2807,0.68,0,41,MX,"19,320",91.33%,1,2,,,,,,,,
Shur02,10/21/2013,All,"2,218",2810,0.25,0,36,MX,"22,740",92.82%,1,2,,,,,,,,
Shur02,10/21/2013,All,"2,221",2814,1.94,0,52,MX,"19,620",92.41%,1,2,,,,,,,,
Shur02,10/21/2013,All,"2,225",2817,2.13,0,23,MX,"23,640",90.80%,1,2,,,,,,,,
Shur02,10/22/2013,All,"2,231",2824,1.66,0,28,MX,"17,420",92.51%,1,2,,,,,,,,
Shur02,10/23/2013,All,"2,247",2843,1.23,0,53,HO,"19,780",86.55%,1,2,,,,,,,,
Shur02,10/23/2013,All,"2,252",2848,0.73,0,33,HO,"20,560",90.71%,1,2,,,,,,,,
Shur02,10/23/2013,All,"2,257",2855,1.34,0,34,HO,"13,700",79.65%,1,2,,,,,,,,
Cham01,10/12/2013,Asnet,"2,048",2594,9,0,30,ST,"21,860",96.58%,1,2,,,,,,,,
Cham01,10/15/2013,Asnet,"2,103",2668,6.3,0,43,ST,"13,440",99.06%,1,2,,,,,,,,
Lamb01,10/14/2013,B,"2,078",2638,4.39,0,24,OS,"32,180",88.42%,1,2,,,,,,,,
Norr01,10/12/2013,B-0,"2,056",2610,3.03,0,66,ST,"23,680",95.77%,1,2,,,,,,,,
Hamb03,10/3/2013,B1,"1,897",2390,2.47,0,26,ST,"25,080",96.63%,1,2,,,,,,,,
